Patient Name,DOB,Email,Phone,Plan Start Date,Plan,Add-ons,Active
Patty PPO,2/8/1974,,,1/15/2026,6 Month- Adult,,Yes
Marvin Medicaid,6/8/1964,,,1/15/2026,6 Month- Adult,,Yes
Nancy Out of Network,5/6/1980,,,2/1/2026,6 Month- Adult,Fluoride,Yes
Allen Allowed,6/5/1980,,,2/1/2026,6 Month- Adult,,Yes
Anna Allowed,2/7/1984,,,3/1/2026,3 Month- Perio,Fluoride,Yes
Candi Copay,3/8/1990,,,3/1/2026,6 Month- Adult,,Yes
LittleAnnie PPO,3/27/2002,,,4/1/2026,3 Month- Perio,,Yes
John Smith,6/23/1979,,,4/1/2026,6 Month- Adult,,Yes
Jane Smith,5/24/1976,,,5/1/2026,12 Month- Platinum,,Yes
Rosalind Achterberg,7/4/1955,,,5/1/2026,6 Month- Adult,,Yes
Junior Smith,2/9/2002,,,6/1/2026,6 Month- Child,Fluoride Varnish,Yes
Sis Smith,6/25/2008,,,6/1/2026,6 Month- Child,,No
Amy Zarren,4/2/1949,,,1/6/2025,6 Month- Adult,,No
Bob Zarren,6/9/1951,,,1/6/2025,3 Month- Perio,Fluoride Varnish,No
Bob Zarren,6/9/1951,,,7/1/2026,6 Month- Adult,Fluoride Varnish,Yes
